phish_id,url,phish_detail_url,submission_time
8504226,https://7yp9m4-8080.csb.app/,http://www.phishtank.com/phish_detail.php?phish_id=8504226,2024-03-22T20:40:23+00:00
8504219,https://att-102708.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504219,2024-03-22T20:31:42+00:00
8504218,https://www.beneficios2024.online/,http://www.phishtank.com/phish_detail.php?phish_id=8504218,2024-03-22T20:30:26+00:00
8504217,https://bw-sms.com,http://www.phishtank.com/phish_detail.php?phish_id=8504217,2024-03-22T20:30:08+00:00
8504216,https://efileirsgov.online,http://www.phishtank.com/phish_detail.php?phish_id=8504216,2024-03-22T20:28:32+00:00
8504213,https://att-103539-105038.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504213,2024-03-22T20:21:42+00:00
8504212,https://docs.google.com/presentation/d/e/2PACX-1vT2-A7LbDFuaSsc31FxyWcUCCYQosMEff7z_gri3zkXoJJj_QZzKIDj0bzV76YAywP7Z28yt-yd7NbR/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8504212,2024-03-22T20:21:10+00:00
8504207,https://cutt.ly/ow26gEoD,http://www.phishtank.com/phish_detail.php?phish_id=8504207,2024-03-22T20:10:26+00:00
8504197,https://2kjnz9-8080.csb.app/,http://www.phishtank.com/phish_detail.php?phish_id=8504197,2024-03-22T19:50:22+00:00
8504192,https://laxcvrtrw.wixsite.com/my-site-2,http://www.phishtank.com/phish_detail.php?phish_id=8504192,2024-03-22T19:45:24+00:00
8504166,https://brad.acessosservicosonline.space/BBDC4/BBDC4/home.php?hash=168117399765fddc4f091704.73287585,http://www.phishtank.com/phish_detail.php?phish_id=8504166,2024-03-22T19:30:23+00:00
8504165,https://brad.acessosservicosonline.space/BBDC4/BBDC4/,http://www.phishtank.com/phish_detail.php?phish_id=8504165,2024-03-22T19:30:22+00:00
8504140,https://securemailer849490490.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504140,2024-03-22T19:14:20+00:00
8504131,https://live119.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504131,2024-03-22T19:09:24+00:00
8504130,https://attlogin106850.square.site/,http://www.phishtank.com/phish_detail.php?phish_id=8504130,2024-03-22T19:09:17+00:00
8504129,https://sam9.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504129,2024-03-22T19:09:16+00:00
8504128,https://shssh.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504128,2024-03-22T19:09:07+00:00
8504127,https://academie-creteil.hubside.fr/,http://www.phishtank.com/phish_detail.php?phish_id=8504127,2024-03-22T19:08:59+00:00
8504126,https://free-service.hubside.fr/,http://www.phishtank.com/phish_detail.php?phish_id=8504126,2024-03-22T19:08:50+00:00
8504125,https://jalliison2.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=8504125,2024-03-22T19:08:37+00:00
8504124,https://debbienapless.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=8504124,2024-03-22T19:08:28+00:00
8504122,https://mynetweb20632933.brizy.site/,http://www.phishtank.com/phish_detail.php?phish_id=8504122,2024-03-22T19:08:20+00:00
8504121,https://kiwi20636069.brizy.site/,http://www.phishtank.com/phish_detail.php?phish_id=8504121,2024-03-22T19:08:07+00:00
8504120,https://leslies-supercool-site-85eb75.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504120,2024-03-22T19:07:58+00:00
8504119,https://jjsjdyeeydhdh-07cb1d7a1ba-20bff1e25151c.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504119,2024-03-22T19:07:49+00:00
8504118,https://iconplnaccount.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504118,2024-03-22T19:07:41+00:00
8504117,https://megalink33.wixsite.com/my-site-1,http://www.phishtank.com/phish_detail.php?phish_id=8504117,2024-03-22T19:07:19+00:00
8504116,https://qmailsolutions.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504116,2024-03-22T19:07:15+00:00
8504115,https://tdstelecom-internet-mobile-cable-4c11f5.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504115,2024-03-22T19:07:05+00:00
8504113,https://5u559169995.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504113,2024-03-22T19:06:52+00:00
8504112,https://btmail-100814.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504112,2024-03-22T19:06:43+00:00
8504111,https://telekom-aeb793.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504111,2024-03-22T19:06:34+00:00
8504110,https://hgjdtufy.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8504110,2024-03-22T19:06:25+00:00
8504109,https://bt-107858-107921.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504109,2024-03-22T19:06:16+00:00
8504108,https://alexasangel155.wixsite.com/my-site-1,http://www.phishtank.com/phish_detail.php?phish_id=8504108,2024-03-22T19:06:08+00:00
8504107,https://my-site-104870-104088.square.site/,http://www.phishtank.com/phish_detail.php?phish_id=8504107,2024-03-22T19:06:02+00:00
8504106,https://myjunoweb20633452.brizy.site/,http://www.phishtank.com/phish_detail.php?phish_id=8504106,2024-03-22T19:06:00+00:00
8504105,https://balancecheck.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8504105,2024-03-22T19:05:51+00:00
8504103,https://stepmar7.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=8504103,2024-03-22T19:05:38+00:00
8504102,https://valerieann1990.wixsite.com/my-site/,http://www.phishtank.com/phish_detail.php?phish_id=8504102,2024-03-22T19:05:23+00:00
8504101,https://mbrellafilms2023.wixsite.com/my-site-4,http://www.phishtank.com/phish_detail.php?phish_id=8504101,2024-03-22T19:05:09+00:00
